form,ideophone,item,concept,meaning,status,foil,order
toroi,n,trial,SLOW,SLOW,iconic,hehea|wekyea|yekea,294
zokuzoku,y,trial,(SPINE) TINGLING,(SPINE) TINGLING| SHIVERS (DOWN YOUR SPINE),iconic,geni|kyezi|keri,295
yaQkoi,n,trial,SOFT,SOFT|SQUISHY,iconic,tunea|tyuzea|tsurea,296
hirihiri,y,trial,TINGLING,BURNING|TINGLING,iconic,naha|dzakya|zyaka,297
kiNkiN,y,trial,COLD TO TOUCH,COLD|CHILLY,iconic,naQ|zaQ|raQ,298
ezui,n,trial,SCARY,SCARY|FRIGHTENING,prosaic,ogia|okyia|okia,299
amai,n,trial,WEAK,BLAND (taste)|TASTELESS|WATERY (taste),prosaic,utyua|usua|usyua,300
biNbogena,n,trial,SHABBY,SCRUFFY|TATTY|RAGGEDY,prosaic,tyaQtyerosyu|haQhesoku|syaQsyetyohu,301
gurasyi,n,trial,SAD,SAD|GLUM,prosaic,rihura|sikyuna|tyikuma,302
kosobai,n,trial,TICKLING,TICKLING,prosaic,neketyua|zemehua|regesyua,303
mabaii,n,trial,GLARING (OVERLY BRIGHT),GLARING (light)|BLINDING (light),prosaic,tyutyua|suhua|syusyua,304
doNkusai,n,trial,SLOW,SLOW,prosaic,weQnikua|yeQzimua|heQrigua,305
syitsukoi,n,trial,OILY/HEAVY (FOOD),OILY/HEAVY (food),prosaic,rahinea|nawizea|mayirea,306
misuborasyii,n,trial,SHABBY,SCRUFFY|TATTY|RAGGEDY,prosaic,tyakityehura|samihekyuna|syagisyekuma,307
haQkiri,y,trial,CLEAR,CLEAR|REFRESHED,iconic,nunaha|dzuzakya|zyuraka,313
zuQkoi,n,trial,CUNNING,CUNNING|SLY|SNEAKY,iconic,ginea|kyizea|kirea,314
katyikatyi,y,trial,HARD,HARD,iconic,nuwa|zuya|ruga,315
syitosyito,y,trial,WET,WET|SOGGY|DAMP,iconic,rahe|nawe|maye,316
nagai,n,trial,LONG,LONG,iconic,syurua|kusua|hutyua,317
zyikazyika,y,trial,STINGING (PAIN),"STINGING (pain, e.g. in eyes)|BURNING (pain, e.g. in eyes)",iconic,manu|wazu|haru,318
saQpari,y,trial,CLEAR,CLEAR|REFRESHED,iconic,kusyuha|muwukya|guyuka,319
syakiQ,y,trial,CLEAR,CLEAR|REFRESHED,iconic,runaN|nuzaN|muraN,320
zyuruzyuru,y,trial,OOZING,OOZING|DRIBBLING|SEEPING OUT (e.g. liquid),iconic,mihi|wikyi|hiki,321
dayai,n,trial,EXHAUSTED,EXHAUSTED|TIRED|WEARY,iconic,wutua|yutyua|hutsua,322
adzu,n,trial,RUDE,RUDE|ARROGANT|BRAZEN,iconic,uwi|uyi|uhi,323
hosoi,n,trial,SMALL,SMALL|LITTLE|TINY,iconic,nekea|dzemea|zyegea,324
taputapu,y,trial,SLOSHING,SLOSHING|SPLASHING,iconic,husyi|wuwi|yuyi,325
zuuzuusyii,y,trial,RUDE,RUDE|ARROGANT|BRAZEN,iconic,gigira|kyikyina|kikima,326
gatagata,y,trial,SHAKING,SHAKING|TREMBLING,iconic,ruhu|suwu|tyuyu,327
zurui,n,trial,CUNNING,CUNNING|SLY|SNEAKY,iconic,gihia|kyikyia|kikia,328
otorosyii,n,trial,SCARY,SCARY|FRIGHTENING,prosaic,ehehera|ewekyena|eyekema,329
himozyii,n,trial,HUNGRY,HUNGRY|STARVING,prosaic,natyema|dzasewa|zyasyeha,330
sekarasyika,n,trial,NOISY,LOUD|NOISY,prosaic,konuhuranu|mozukyunazu|gorukumaru,331
syibaru,n,trial,BIND,BIND|TIGHTEN,prosaic,ratyuhi|nahukyi|masyuki,332
tsukareta,n,trial,EXHAUSTED,EXHAUSTED|TIRED|WEARY,prosaic,hinuhohu|wizukyowu|yirukoyu,333
aburaQkoi,n,trial,OILY/HEAVY (FOOD),OILY/HEAVY (food),prosaic,utyihunea|uhikyuzea|usyikurea,334
komaNka,n,trial,TIGHT,TIGHT|PINCHING,prosaic,netyuQnu|zesuQzu|resyuQru,335
