form,concept,iconic,item,meaning,foils,goodone,done,notes
esukaQta,SCARY,n,trial,SCARY|FRIGHTENING,opyawuwu|oyarumu|owiniyi,TRUE,NA,NA
zokuzoku,(SPINE) TINGLING,y,trial,(SPINE) TINGLING| SHIVERS (DOWN YOUR SPINE),weni|yewi|pyera,TRUE,NA,NA
zomizomi,(SPINE) TINGLING,y,trial,(SPINE) TINGLING| SHIVERS (DOWN YOUR SPINE),yera|weya|pyewu,TRUE,NA,NA
tyobiQto,A LITTLE,y,trial,A LITTLE|SLIGHTLY,reyame|wewaye|yeruwe,TRUE,NA,NA
tyoQto,A LITTLE,y,trial,A LITTLE|SLIGHTLY,reye|wewe|yeme,TRUE,NA,NA
iraira,ANNOYED/IMPATIENT,y,trial,ANNOYED|IMPATIENT,aku|apyu|uQpi,TRUE,NA,NA
yaNdagunaruQ,ANNOYED/IMPATIENT,y,trial,ANNOYED|IMPATIENT,QdiQwurapyukyaN|QtiQyuhawuQpaN|tuQhiwiyipyiN,TRUE,NA,NA
futoi,BIG,y,trial,BIG|MASSIVE|LARGE|HUGE,niyeu|wimeu|rawea,TRUE,NA,NA
nigai,BITTER,y,trial,BITTER|ACRID,waruu|yawuu|pyuhia,TRUE,NA,NA
haQkiri,CLEAR,y,trial,CLEAR|REFRESHED,ninaku|riwaQpu|pyuruQga,TRUE,NA,NA
suQkiri,CLEAR,y,trial,CLEAR|REFRESHED,yinukya|wiwuQka|pyaraku,TRUE,NA,NA
syakiQ,CLEAR,y,trial,CLEAR|REFRESHED,pyiwaN|winaN|yuruN,TRUE,NA,NA
syaN,CLEAR,y,trial,CLEAR|REFRESHED,yuQ|pyuQ|wiQ,TRUE,NA,NA
hieQda,COLD (WEATHER),y,trial,COLD|CHILLY,waohi|pyaoyi|nuowu,TRUE,NA,NA
kiNkiN,COLD TO TOUCH,y,trial,COLD|CHILLY,wuQ|nuQ|raQ,TRUE,NA,NA
syaQkoi,COLD TO TOUCH,y,trial,COLD|CHILLY,yuweu|pyureu|winea,TRUE,NA,NA
kirikiri,CRAMPING (STOMACH),y,trial,CRAMPING (e.g. in stomach)|SPASMING (e.g. in stomach),naQku|waQgu|rukya,TRUE,NA,NA
syikusyiku,CRAMPING (STOMACH),y,trial,CRAMPING (e.g. in stomach)|SPASMING (e.g. in stomach),wani|yawi|pyura,TRUE,NA,NA
zurui,CUNNING,y,trial,CUNNING|SLY|SNEAKY,yaQkaa|wapyaa|pyiQpiu,TRUE,NA,NA
dayai,EXHAUSTED,y,trial,EXHAUSTED|TIRED|WEARY,wuQdua|yutua|hitsiu,TRUE,NA,NA
guQtari,EXHAUSTED,y,trial,EXHAUSTED|TIRED|WEARY,hayupya|wawukya|rimiQku,TRUE,NA,NA
hoQkori,EXHAUSTED,y,trial,EXHAUSTED|TIRED|WEARY,newepyu|pyeneQku|wereka,TRUE,NA,NA
syiNdo,EXHAUSTED,y,trial,EXHAUSTED|TIRED|WEARY,pyaQye|waQhe|yuQwe,TRUE,NA,NA
hayai,FAST,y,trial,FAST|QUICK|SPEEDY,wituu|niQduu|rutyia,TRUE,NA,NA
syimiru,FREEZE,y,trial,FREEZE,yayuki|pyaruQki|wuwapya,TRUE,NA,NA
